Epoch,TrainLoss,RankingLoss,ConceptLoss,CompletionLoss,Val_Accuracy@1,Val_MRR,Val_MeanRank,Val_MedianRank,Val_Precision@5,Val_Recall@5,Val_F1@5,Val_NDCG@5,Val_MAP@5,Val_Precision@10,Val_Recall@10,Val_F1@10,Val_NDCG@10,Val_MAP@10,Val_Precision@20,Val_Recall@20,Val_F1@20,Val_NDCG@20,Val_MAP@20,Val_CatalogCoverage@10,Val_Novelty@10,Val_Loss,Val_CompletionMAE,Val_CompletionRMSE,Val_ConceptRecall@10,Seconds
1,2.3615366591529976,2.3615366591529976,0.0,0.0,0.5268667520463277,0.5641373107528105,412.6281530152013,1.0,0.12025168439222673,0.6012584219611337,0.20041947398704454,0.5663810470395257,0.5547831171000612,0.06376190211036249,0.6376190211036249,0.11593073110975,0.5781367590272017,0.5596332740271712,0.033568127401302966,0.6713625480260593,0.06393929028819613,0.5866581807752324,0.5619660323729787,0.8968220338983051,10.037375239644955,4.107455361240578,0.19805601427055786,0.2449623086960436,0.45988481785653895,39.12344408035278
2,1.418293372707708,1.418293372707708,0.0,0.0,0.5826048220947714,0.630098285044145,269.42997939751655,1.0,0.13623252965087143,0.6811626482543571,0.2270542160847857,0.6351623195449948,0.6198581955194239,0.07209198730441561,0.7209198730441562,0.13107634055348294,0.6480327367238161,0.6251777196206173,0.03812573083133805,0.762514616626761,0.07262043967873914,0.6585398392003267,0.6280554163871397,0.9404661016949153,10.166165295712569,3.316705201276062,0.19805601427055786,0.2449623086960436,0.5959105461055729,37.95687174797058
3,1.087029332414394,1.087029332414394,0.0,0.0,0.6216381758449803,0.6691360930946988,207.24617183584832,1.0,0.14402806392338102,0.7201403196169052,0.24004677320563503,0.6739885881778334,0.6586465467639252,0.07624589342391001,0.7624589342391002,0.13862889713438184,0.6876701451523816,0.6642903323885004,0.040280639233810346,0.8056127846762069,0.07672502711201971,0.6985850914525243,0.6672892027047787,0.9485169491525424,10.081016922505274,2.94785208537203,0.19805601427055786,0.2449623086960436,0.6661990279615828,38.270163774490356
4,0.8992612282942242,0.8992612282942242,0.0,0.0,0.628097332813631,0.681441776629311,170.9038921988975,1.0,0.14785901219444292,0.7392950609722145,0.24643168699073822,0.6876974745265748,0.670506895335672,0.07838409711008408,0.7838409711008408,0.14251654020015286,0.7021182166670843,0.6764677833195012,0.04131076340553483,0.8262152681106966,0.07868716839149491,0.7128598071204398,0.6794307573119157,0.9620762711864407,10.094163232816596,2.767166322068453,0.19805601427055786,0.2449623086960436,0.703532979020546,38.38661861419678
5,0.7822980736419576,0.7822980736419576,0.0,0.0,0.6274848265493624,0.6869900005425504,147.30736677988753,1.0,0.15032017372904952,0.7516008686452476,0.2505336228817492,0.6948888502426934,0.675889526142881,0.07979842975666797,0.7979842975666797,0.14508805410303266,0.7098437753299199,0.6820358453160947,0.04205133916142324,0.8410267832284648,0.08009778887890143,0.72077508623444,0.6850614698310741,0.9591101694915254,10.111764408337848,2.65582320591782,0.19805601427055786,0.2449623086960436,0.728687334209031,37.87459135055542
6,0.6974567442526186,0.6974567442526186,0.0,0.0,0.6364496909627485,0.6945270592171844,129.97549974942925,1.0,0.15191269001614788,0.7595634500807394,0.25318781669357976,0.7022418532479198,0.683150509493847,0.08065593852664402,0.8065593852664402,0.14664716095753458,0.7174473971106794,0.6894300907622918,0.04264992482877666,0.8529984965755332,0.08123795205481268,0.729206095831704,0.6926661394727374,0.9629237288135594,10.100580423941354,2.551049012477749,0.19805601427055786,0.2449623086960436,0.7469397311791265,38.399571657180786
7,0.6375360268615886,0.6375360268615886,0.0,0.0,0.6105016983128236,0.6851079058607075,116.74909516120051,1.0,0.15323793084247453,0.7661896542123726,0.2553965514041242,0.6969373817342246,0.6735981958906397,0.08135753661116989,0.8135753661116989,0.14792279383849072,0.7122561441637534,0.679918500429108,0.04300907622918871,0.8601815245837742,0.08192204996035944,0.7241306081857165,0.6832252706853404,0.9603813559322034,10.128584108602391,2.5228036829195797,0.19805601427055786,0.2449623086960436,0.7600119218232334,39.24665832519531
8,0.5910018283823251,0.5910018283823251,0.0,0.0,0.6289325686285427,0.6965687622828962,107.47636282643799,1.0,0.15424021382036862,0.771201069101843,0.25706702303394774,0.7066741512746196,0.6850353583161646,0.0820702711732279,0.820702711732279,0.1492186748604144,0.7226536044188142,0.6916135253403476,0.04322066930229968,0.8644133860459936,0.08232508438533273,0.7337368096196001,0.6946714844918842,0.9559322033898305,10.13168597245871,2.4795368007020766,0.19805601427055786,0.2449623086960436,0.7726008723205212,38.644657135009766
9,0.5541357106654491,0.5541357106654491,0.0,0.0,0.6260927668578429,0.6965884361601777,100.50554039757225,1.0,0.15465226348905842,0.773261317445292,0.257753772481764,0.7067963293493277,0.6844859587579116,0.08263266328860182,0.8263266328860182,0.150241205979276,0.7239838036721935,0.6915951855063164,0.04346567180800713,0.8693134361601426,0.08279175582477549,0.7349445204200835,0.694651870622285,0.9565677966101694,10.146788937610946,2.4562253855910186,0.19805601427055786,0.2449623086960436,0.7804258073760756,38.40791034698486
10,0.5245186191531784,0.5245186191531784,0.0,0.0,0.6292109805668467,0.7002507685930132,92.7327802216159,1.0,0.15578818419733836,0.7789409209866919,0.2596469736622306,0.7112520394968217,0.6885349963806447,0.0828943705106075,0.828943705106075,0.15071703729201363,0.7274164358860478,0.6952034484191064,0.043735731388161926,0.8747146277632385,0.08330615502507034,0.7389964623628498,0.6983856992617854,0.964406779661017,10.14152170902692,2.405104513469428,0.19805601427055786,0.2449623086960436,0.785315625198609,38.9681556224823
