Epoch,TrainLoss,RankingLoss,ConceptLoss,CompletionLoss,Val_Accuracy@1,Val_MRR,Val_MeanRank,Val_MedianRank,Val_Precision@5,Val_Recall@5,Val_F1@5,Val_NDCG@5,Val_MAP@5,Val_Precision@10,Val_Recall@10,Val_F1@10,Val_NDCG@10,Val_MAP@10,Val_Precision@20,Val_Recall@20,Val_F1@20,Val_NDCG@20,Val_MAP@20,Val_CatalogCoverage@10,Val_Novelty@10,Val_Loss,Val_CompletionMAE,Val_CompletionRMSE,Val_ConceptRecall@10,LearningRate,Seconds
1,1.5744140209984994,1.4681524586600032,0.5054164976012888,0.05178264771639587,0.3307740034124399,0.41676042009828773,133.65573134791376,5.0,0.10031022180859314,0.5015511090429657,0.1671837030143219,0.42124572586654724,0.39457370353135823,0.05863967736931906,0.5863967736931907,0.10661759521694375,0.4486543703467492,0.4058703322081637,0.03390724367923065,0.678144873584613,0.06458522605567742,0.4718104384134932,0.4122040146009192,0.6919739696312365,9.868901960869868,4.060225803759258,0.18943794054339352,0.2422108887458457,0.5648073696527056,0.001,45.83235001564026
2,0.6933722169353354,0.6353442130316461,0.2654615126079513,0.04935700684071628,0.4207383279044517,0.5111331891715568,77.63991003567551,2.0,0.12140530479292695,0.6070265239646347,0.20234217465487825,0.5192279042710461,0.49007031694328107,0.06936559640142702,0.6936559640142702,0.12611926618441274,0.5472853333965251,0.5016737820716416,0.038835892663254226,0.7767178532650846,0.07397312888238901,0.5683063065610807,0.5074526166582086,0.784767413834659,10.102220487904951,3.2930495207561568,0.192718389058494,0.2375235625429801,0.6930432312259283,0.001,46.47559404373169
3,0.44518131437822006,0.4056344361563006,0.17363161323679135,0.04820554493639457,0.4543198386846595,0.5522502076924031,61.331472002481775,2.0,0.13176671319993796,0.6588335659996898,0.21961118866656326,0.5644023781290008,0.5328783413473966,0.07392585698774624,0.7392585698774624,0.13441064906862954,0.5903005090974803,0.5435027304443312,0.04093376764386537,0.8186753528773073,0.07796908122641022,0.6104514809562326,0.5490732922854674,0.8435767654856592,10.20816420317131,2.9164965821732585,0.18451024730602716,0.2376161492940042,0.744028817252597,0.001,45.389132261276245
4,0.32588532543086257,0.2964486480115418,0.12338681824527441,0.04759314527987229,0.4598262757871878,0.5629682452243059,53.02760974096479,2.0,0.13598572979680473,0.6799286489840236,0.22664288299467455,0.5780622338455671,0.5440773486376093,0.07591903210795718,0.7591903210795719,0.13803460383264943,0.6037630681476082,0.5547240810909959,0.04162788894059252,0.8325577788118504,0.07929121702970005,0.6223791811772085,0.5598674316879523,0.8710532658471921,10.133126421960887,2.8078179682652786,0.18422456813636115,0.2355312042629726,0.7662445649154203,0.001,45.86419725418091
5,0.25675367504819846,0.2336800301673099,0.09193685345616356,0.04686274131161759,0.50542888165038,0.5953917719607438,48.88987125794944,1.0,0.13932061423918102,0.696603071195905,0.23220102373196835,0.606818384851646,0.5769634455302208,0.07767954087172328,0.7767954087172328,0.1412355288576787,0.6327157254181944,0.5876286435674523,0.0424073212346828,0.848146424693656,0.08077584997082438,0.6508002677505317,0.5926142445227569,0.8852735598939504,10.204031679355346,2.678687135729842,0.18345801522214228,0.23417653033617677,0.7789013056291935,0.001,44.95098948478699
6,0.21062648837496245,0.19126832828043258,0.07353304367089965,0.04651551274337006,0.5237319683573756,0.6118934178720979,45.81991624011168,1.0,0.14256243213897937,0.7128121606948968,0.2376040535649656,0.624253543764037,0.5947986143425883,0.07840080657670234,0.7840080657670234,0.1425469210485497,0.6472130915060036,0.6042357895021925,0.042764076314564914,0.8552815262912983,0.08145538345631413,0.6652979405438615,0.6092316772460409,0.9055194022656061,10.246598273402123,2.606983973552076,0.1840378579317978,0.23519696049228186,0.7897000221553145,0.001,44.944610595703125
7,0.18194881416433498,0.1654559357861222,0.05956657448514498,0.04579563392880443,0.5224135256708546,0.6112767058617531,45.78144873584613,1.0,0.1419264774313634,0.7096323871568171,0.23654412905227234,0.6218587160485602,0.5926839356806783,0.0792849387311928,0.792849387311928,0.1441544340567142,0.6488830344487928,0.6039039629605009,0.04299674267100977,0.8599348534201955,0.08189855746859004,0.6659681053117426,0.6086581834372045,0.9168474331164136,10.26544172390905,2.5937685403635986,0.17936619084570526,0.2325819577725522,0.8041490941080115,0.001,44.985169410705566
8,0.15812119683201636,0.14347592817079727,0.05035528538418965,0.04574211687426913,0.5270668527997519,0.62051995757243,43.50387777260742,1.0,0.14597487203350396,0.7298743601675198,0.24329145338917327,0.6352623911065579,0.6037549764748461,0.08025438188304637,0.8025438188304638,0.14591705796917523,0.6587976665648742,0.6134897552940829,0.043318597797425154,0.8663719559485031,0.08251161485223839,0.6750177402984018,0.6179850629180417,0.9129910821884791,10.289778380718,2.536686501577693,0.18337203129000382,0.23103941073123524,0.8103886107269385,0.001,45.173954486846924
9,0.14621012057974977,0.13293087346363663,0.043797095039830376,0.045198280237830867,0.5047308825810455,0.607232141019838,43.358306188925084,1.0,0.14552505041104388,0.7276252520552194,0.24254175068507314,0.6245678748854334,0.5901827723488962,0.0801535597952536,0.801535597952536,0.14573374508227926,0.6485488085827129,0.6001285820155062,0.04340003102218086,0.8680006204436171,0.08266672575653497,0.6654295757514164,0.6048015178355339,0.9240780911062907,10.23928722931468,2.6209804640826615,0.17854149725356916,0.23149030265031562,0.805117650997303,0.001,45.28507709503174
10,0.134030125832435,0.12206759464121686,0.037287593220647924,0.04505012472957813,0.5269892973476036,0.6233763327842223,43.07476345587095,1.0,0.14659531565069023,0.7329765782534512,0.2443255260844837,0.6381106285126088,0.6064151284835323,0.08079727004808437,0.8079727004808438,0.1469041273601534,0.6624457320624764,0.6165073086780858,0.04355126415387002,0.8710252830774003,0.08295478886451432,0.6785292292187077,0.6209975444704554,0.9221499156423234,10.286388071818543,2.5725523408890068,0.17913888628508337,0.23289778873926567,0.8143296471353504,0.001,44.78631925582886
11,0.12378904239259855,0.11257895352699705,0.03364970680217627,0.04480147646460268,0.5314875135722041,0.6285673584062783,41.149604467194045,1.0,0.1476966030711959,0.7384830153559795,0.24616100511865982,0.6439953158054385,0.6123494131637454,0.08064991468900264,0.8064991468900263,0.14663620852545936,0.6660797526038327,0.6215162829518344,0.043605552970373815,0.8721110594074764,0.08305819613404536,0.6828002945864021,0.6261766306989209,0.9272113762352374,10.347245973232507,2.5390690631490727,0.18087187615571806,0.23203739547326657,0.81893785376144,0.001,45.05288505554199
12,0.11538395508458943,0.105036164007888,0.029318891370962892,0.04484012833802922,0.5407941678299985,0.6356568490236342,40.542345276872965,1.0,0.14862726849697533,0.7431363424848767,0.24771211416162556,0.6506517895099108,0.6196926218913189,0.08116178067318133,0.8116178067318133,0.1475668739512388,0.6727440764763924,0.6287795664773329,0.043830463781603844,0.8766092756320769,0.08348659767924542,0.689323310256889,0.633408446655149,0.9279344420342251,10.341187433690326,2.5649804017220945,0.17470948851596704,0.23060182199488563,0.8188229041781482,0.001,44.95385432243347
13,0.11176649535310984,0.1020380531407782,0.02636495598998336,0.044554506721208254,0.5362183961532496,0.631021716392831,41.8123933612533,1.0,0.1475880254381883,0.7379401271909415,0.2459800423969805,0.6451238966194031,0.6140931182462127,0.08155731347913758,0.8155731347913758,0.14828602450752287,0.6703104918619437,0.6245316512417489,0.04376841941988522,0.8753683883977044,0.08336841794263852,0.6854780648973997,0.6287193768252439,0.928416485900217,10.357038729106161,2.5629179634862265,0.18182411593430833,0.2333200532790686,0.8273583321070029,0.001,45.41224455833435
14,0.10184227564014722,0.09257447175551109,0.0241994351201413,0.04427916663106393,0.5243524119745618,0.6245334182967552,40.35342019543974,1.0,0.14895300139599815,0.7447650069799907,0.24825500232666362,0.6425894405307705,0.6085026627371903,0.08137893593919653,0.8137893593919653,0.14796170170763004,0.6649375327193779,0.6177414251983819,0.043989452458507834,0.8797890491701567,0.08378943325430065,0.6816773214930671,0.62236380844295,0.9378163412870572,10.30195087494602,2.608675275530134,0.17886821051378554,0.23016600398175413,0.8202928442053623,0.001,45.41800546646118
15,0.10245815157742104,0.09365497701411811,0.02198008329184264,0.044071576764935456,0.5421126105165193,0.6382279983665413,40.54862726849697,1.0,0.1500232666356445,0.7501163331782225,0.2500387777260742,0.6546321878377804,0.6226862623442428,0.08186753528773073,0.8186753528773073,0.1488500641595104,0.676901368785721,0.6319337651817875,0.04374515278424073,0.8749030556848146,0.08332410054141091,0.6911975296160655,0.6358978425551888,0.930826705230176,10.256543653441408,2.5792608164956965,0.17542911492772337,0.2300357859872431,0.82355019271404,0.001,45.620267152786255
16,0.09641314943673751,0.08794720724638752,0.020314249562790036,0.04403092210470217,0.5327284008065767,0.6313894493597434,39.277570963238716,1.0,0.14985264464091824,0.7492632232045913,0.24975440773486374,0.6490461373363108,0.6156093273357117,0.08182875756165658,0.8182875756165658,0.14877955920301197,0.6714275666968481,0.6248805892244701,0.0439274080967892,0.8785481619357841,0.08367125351769372,0.6867627172848062,0.6291423742424335,0.9296215955651964,10.31964913602321,2.5789634819379867,0.1790988169147078,0.22901308083551555,0.8276725225976073,0.001,45.07903718948364
17,0.09306087922678993,0.08503543230340714,0.01824616628198577,0.04376213613685539,0.5452148286024507,0.6440305891000356,40.92593454319839,1.0,0.15101597642314254,0.7550798821157128,0.2516932940385709,0.6602730023520536,0.6284525102114679,0.08267411199007291,0.8267411199007291,0.150316567254678,0.6835082258961663,0.6380757876802547,0.04408639677369319,0.8817279354738639,0.08397408909274894,0.6974643726321603,0.6419345708513072,0.9448059773439383,10.40054056908109,2.564271069209077,0.17409303367983855,0.23007870338300734,0.838070664991883,0.001,44.99873971939087
18,0.08804160337836102,0.08011171776879719,0.017927732480402185,0.043443390731578685,0.562354583527222,0.6518789059045075,39.04467194043741,1.0,0.15100046533271289,0.7550023266635645,0.25166744222118814,0.6660363776948474,0.6363567033762474,0.08246471226927253,0.8246471226927253,0.1499358404895864,0.6885684224912489,0.6456623420269302,0.044125174499767335,0.8825034899953467,0.08404795142812825,0.7032617116461616,0.6497301541475644,0.93058568329718,10.430940647736072,2.560917905935007,0.17428265344533547,0.22820352521443707,0.8375298649223251,0.001,45.57613015174866
19,0.08747763240198936,0.07985169872689409,0.016501222578295397,0.04325689266517485,0.5572359236854351,0.6487728682630062,39.54350860865519,1.0,0.15069024352411975,0.7534512176205987,0.25115040587353293,0.6635167390870863,0.6334354480119953,0.08198386846595315,0.8198386846595316,0.14906157902900574,0.68501286748461,0.6423236413638926,0.04389638591592989,0.8779277183185978,0.08361216364939025,0.6998456968636643,0.6464714600188188,0.9392624728850325,10.337925421678658,2.590193612234933,0.17512013323111592,0.23021462480176863,0.8272693737531822,0.001,45.26125979423523
