Seed,Split,BestEpoch,NDCG@10,Recall@10,MRR,Accuracy@1,ConceptRecall@10,Recall@20
42,Train,20,0.8429706270589765,0.9672030736677989,0.8051592253196559,0.7181914360487778,0.977693446277556,0.9911465003619355
42,Validation,20,0.7398543508387488,0.855838298346233,0.7085131007606804,0.6292666629545075,0.8391741062267635,0.908179742747369
42,Test,20,0.6985481291542532,0.8234868311153182,0.6656664787516378,0.5823264101564675,0.8135911251994955,0.8834010802383206
2026,Train,20,0.8413601736042946,0.9670917088924773,0.8029278097943648,0.7125675148950387,0.9795671541013429,0.9914249123002394
2026,Validation,20,0.7376554908099529,0.8557269335709116,0.7056275753972246,0.6235313770254468,0.8372870587887654,0.9070104126064925
2026,Test,20,0.6883461287551416,0.8191992872654379,0.6535873240641986,0.5628375744751934,0.8150673914955265,0.8786123948994933
3407,Train,20,0.8435439850858886,0.9670360265048166,0.8058828163312305,0.7176902945598307,0.9782738618386361,0.9912021827495963
3407,Validation,20,0.7400809489120028,0.8582326410156468,0.7080638408708742,0.6287098390778997,0.8353311973253464,0.9080683779720474
3407,Test,20,0.6937324228558404,0.8244891140932123,0.6588192356745859,0.5703546968093992,0.8129129674188481,0.8819533381591402
