Epoch,TrainLoss,RankingLoss,ConceptLoss,CompletionLoss,Val_Accuracy@1,Val_MRR,Val_MeanRank,Val_MedianRank,Val_Precision@5,Val_Recall@5,Val_F1@5,Val_NDCG@5,Val_MAP@5,Val_Precision@10,Val_Recall@10,Val_F1@10,Val_NDCG@10,Val_MAP@10,Val_Precision@20,Val_Recall@20,Val_F1@20,Val_NDCG@20,Val_MAP@20,Val_CatalogCoverage@10,Val_Novelty@10,Val_Loss,Val_CompletionMAE,Val_CompletionRMSE,Val_ConceptRecall@10,Seconds
1,1.7967601887723421,1.7348005191431675,0.5075242720398676,0.048659107037752294,0.4607160755053177,0.5259242502426218,115.30207695305975,2.0,0.11775711342502367,0.5887855671251183,0.1962618557083728,0.5280080672287613,0.5078521446999648,0.06531544072609834,0.6531544072609834,0.11875534677472427,0.5487639143275452,0.5163840122607315,0.03661673812573083,0.7323347625146166,0.06974616785853492,0.5688047254418572,0.5218937271224973,0.698728813559322,9.885759051101282,3.4477217114710506,0.17638477717418236,0.232037938473912,0.5805752728229568,98.72519850730896
2,0.9912616318970547,0.9551805997321121,0.28798939829598696,0.04606431598460943,0.5192939473244613,0.597777644330956,70.35798207027118,1.0,0.1365666239768361,0.6828331198841806,0.2276110399613935,0.6064543146580281,0.5810252983647938,0.07502644913413888,0.7502644913413887,0.13641172569843432,0.6282271912952346,0.5899920409539542,0.040868088423631606,0.8173617684726321,0.07784397794977448,0.6451772866912685,0.5946380910620277,0.8127118644067797,10.023541490531603,2.876602377191379,0.1738267490077413,0.2307035392554836,0.7068926770901418,98.24839496612549
3,0.7778416597860865,0.7519425963405444,0.2016081473460708,0.045055315978206265,0.5388384653933961,0.6203917865068416,57.30686563839858,1.0,0.1419121331922713,0.7095606659613565,0.23652022198711883,0.629834655273197,0.6033131020658166,0.07815579932067487,0.7815579932067487,0.14210145331031795,0.6530982291719509,0.612903951416675,0.042391001726154016,0.8478200345230803,0.08074476519267432,0.6698905473429427,0.6175324744750489,0.8625,10.113646883510498,2.7401127137919565,0.16922864959194026,0.22913478595314435,0.7472890428278043,98.63873410224915
4,0.6706082858527872,0.650734766720116,0.1505218426417156,0.044381055805442035,0.5615011971713347,0.6463133182448851,48.753549752213374,1.0,0.1486274291441617,0.7431371457208085,0.24771238190693612,0.6592198641113016,0.6312044100451027,0.08051673255749206,0.8051673255749207,0.14639405919544013,0.6792786308006059,0.6394820609907753,0.04337101174898379,0.8674202349796759,0.08261145095044532,0.6950089344126039,0.6437952012112397,0.8699152542372881,10.148348425576925,2.5390704420641885,0.1677002919402949,0.22611322858684252,0.7794693000446292,98.582106590271
5,0.6073160726098347,0.5912460938603893,0.11837977133347578,0.043708089698264244,0.5864469068433654,0.6672726393888097,45.24288657497633,1.0,0.1514560944373295,0.7572804721866474,0.25242682406221584,0.6788421159267152,0.6526198563394399,0.08174731332479537,0.8174731332479537,0.14863147877235525,0.6983687748384043,0.6607137554058319,0.04387493735731388,0.8774987471462776,0.08357130925202645,0.7135902861012116,0.664913998231098,0.9052966101694915,10.156955132534707,2.452229371361069,0.16816729383178156,0.22320033689208515,0.7946349977919944,98.20817232131958
6,0.5616869137813602,0.548061824554583,0.09772101555065994,0.043270968079649655,0.5784843254078735,0.6671826090378408,40.640737234812626,1.0,0.15319338493234588,0.7659669246617294,0.25532230822057644,0.6811577725462798,0.6527024518811366,0.08262709504983574,0.8262709504983574,0.15023108190879228,0.7007583394107946,0.6608508401411681,0.04417840637006515,0.883568127401303,0.08414934546679075,0.7153130680175036,0.6648808012924411,0.9156779661016949,10.203163967541094,2.3744305733271247,0.16511242360488976,0.22732690010028678,0.8043494486083467,98.12329149246216
7,0.5313535619932495,0.519435273786739,0.08345507199156665,0.04259952539127713,0.606047107299961,0.6838351608217791,41.329082911075226,1.0,0.1548081741745086,0.774040870872543,0.25801362362418095,0.6957423273638463,0.6696642352024055,0.08347903558104572,0.8347903558104571,0.15178006469281038,0.7154161973343406,0.6778000286366566,0.04453198953171112,0.8906397906342224,0.08482283720325928,0.729528720427133,0.6816692998885103,0.9224576271186441,10.231909692438363,2.3139900060105982,0.16815499471834172,0.22256028439942177,0.8154927475868479,98.19982576370239
8,0.5063015885597371,0.49579045049950154,0.07154083285053725,0.04240455623053187,0.5910128626315496,0.6777229796555121,39.66757614566512,1.0,0.15509772259034466,0.7754886129517233,0.2584962043172411,0.6916655299285128,0.6635688698331385,0.08351801325240826,0.8351801325240826,0.15185093318619683,0.7110681913348228,0.671635038186628,0.04450414833788073,0.8900829667576146,0.08476980635786806,0.7250447592477817,0.6755213192482845,0.9241525423728814,10.215893199747544,2.3321702983598547,0.16904657463320075,0.22163317025179008,0.8122699388301533,98.43906879425049
9,0.4895514762487478,0.48021605330325995,0.06172281614135895,0.04192103902483283,0.5922378751600869,0.6793654440853304,41.313491842530205,1.0,0.1558884124951278,0.779442062475639,0.25981402082521304,0.6940518417405144,0.6654546466952502,0.08372403808675316,0.8372403808675316,0.15222552379409665,0.7127995855870678,0.6732243063344461,0.0447296620079069,0.894593240158138,0.08519935620553695,0.727363916547624,0.6772557572390724,0.9362288135593221,10.168758529807926,2.355448775676704,0.16606084805277954,0.22192851060938595,0.8173524206800656,98.09380197525024
10,0.4753451619456239,0.46654526370551747,0.05730950170821766,0.04156316358527979,0.6131187705328804,0.6925787139222991,38.68823431148728,1.0,0.15647864580433207,0.7823932290216604,0.2607977430072201,0.7045605955731219,0.6785465040740947,0.08436995378361825,0.8436995378361825,0.153399915970215,0.7243550884385364,0.6866981183772207,0.04487443621582494,0.8974887243164987,0.08547511660157131,0.7380441598650829,0.6905034054788369,0.9396186440677966,10.244480004122552,2.286938414368427,0.16434013164151623,0.22108613968760454,0.8213044165506379,98.5225658416748
11,0.4638485086219582,0.4557123395612235,0.051778306072968405,0.04126348199500341,0.602984575978618,0.6896402420823818,37.018876329417004,1.0,0.15759229355754775,0.7879614677877388,0.2626538225959129,0.7041250396698193,0.6759953226794365,0.08464836572192216,0.8464836572192216,0.15390611949440394,0.7230807812547894,0.6838353586697036,0.04498858511052954,0.8997717022105908,0.08569254306767532,0.7366052406900309,0.6875743849652922,0.9347457627118644,10.240022023372099,2.2758948885124677,0.16526727505234437,0.22420831698482893,0.8291385330634478,98.32227683067322
12,0.45309285498516905,0.44551968564876065,0.047145122654829855,0.040871865419771405,0.604265270894816,0.6897054251377039,37.00300684893368,1.0,0.1576034300350799,0.7880171501753995,0.2626723833917998,0.7042825382496912,0.6762319728269948,0.08448131855893981,0.8448131855893981,0.15360239737989057,0.7227128586516962,0.683874977130448,0.04498858511052954,0.8997717022105908,0.08569254306767532,0.7365978897615706,0.6876793414186401,0.9449152542372882,10.217179963400179,2.27073472995483,0.16268464283181416,0.22116613562174622,0.8244609968647024,98.41098237037659
13,0.44301442853492823,0.4359066027089478,0.043326602426799594,0.04052236296092742,0.613230135308202,0.69536005386473,36.49479369675372,1.0,0.15795979731610893,0.7897989865805446,0.26326632886018153,0.7088755529218879,0.6818011396328675,0.08492677766022608,0.8492677766022607,0.15441232301859287,0.7280964070817912,0.6897263564185443,0.0450498357369564,0.900996714739128,0.085809210927536,0.7412374460845655,0.6933660621297425,0.9389830508474576,10.233808291729424,2.2364840974547002,0.16297360851359238,0.2217960517235677,0.8309505106555327,99.05808115005493
14,0.4373939326860998,0.430576273770288,0.04096027945850703,0.04026986861631107,0.6159585723035804,0.6966073907197723,37.67047162982349,1.0,0.1577036583328693,0.7885182916643466,0.26283943055478215,0.709319535753763,0.6828312638045919,0.0848432540787349,0.848432540787349,0.15426046196133616,0.7288078695281979,0.6909411384131581,0.04500528982682778,0.9001057965365555,0.08572436157491005,0.7419123951388754,0.6945596333761167,0.9461864406779661,10.235173428571189,2.2475395689058946,0.16631336791543627,0.21978214226975704,0.8323648596198573,98.37326836585999
15,0.43020553485870744,0.4237446939956869,0.038004896066855635,0.040066156050752234,0.6122835347179687,0.6974898849701702,38.17695862798597,1.0,0.15892867086140655,0.7946433543070327,0.26488111810234427,0.7120630537571335,0.6843448967091709,0.08508268834567626,0.8508268834567626,0.15469579699213865,0.7302181248104289,0.6918293608810898,0.0451918258254914,0.903836516509828,0.08607966823903124,0.7436461416874278,0.695527472781754,0.9432203389830508,10.24242925331334,2.201729038734931,0.16334440294090827,0.21989566193639892,0.8336842573068804,97.82747483253479
16,0.4248301060926768,0.4187277917965068,0.035062870500934824,0.03979691741002923,0.6074391669914806,0.694731768903816,37.05818809510552,1.0,0.15902889915919594,0.7951444957959797,0.26504816526532654,0.709940630159012,0.6813658889693189,0.08544462386547134,0.8544462386547135,0.15535386157358427,0.7291608594532668,0.6893231894164573,0.04518904170610836,0.9037808341221671,0.08607436515449211,0.7416738615015908,0.692778400600022,0.9466101694915254,10.266825582450851,2.2037525917255865,0.16268071044283924,0.22074524320418415,0.837829280710802,98.25051593780518
17,0.4200714420426823,0.4143049178959112,0.03230945409154222,0.039540005244362075,0.6283200623642742,0.7076054173365804,37.867364552592015,1.0,0.15967481485606103,0.7983740742803052,0.26612469142676837,0.7205047459369309,0.6944549622287804,0.08563394398351801,0.8563394398351801,0.15569807997003277,0.7392799712193197,0.7022224343456038,0.0453198953171112,0.906397906342224,0.08632361012783084,0.7519895324601547,0.7057398163632488,0.9502118644067796,10.284764458749759,2.1744635946415163,0.16299768209497226,0.22070174358482075,0.8398472958321811,98.42607474327087
18,0.4154024554666723,0.4097770343503047,0.031172385463048995,0.03938522474745264,0.6306587226460271,0.7082817476224366,37.305919037808344,1.0,0.15961913246840026,0.7980956623420012,0.2660318874473338,0.7209158202720143,0.6951435677561854,0.08547803329806783,0.8547803329806782,0.15541460599648696,0.7392952727304055,0.70275747138323,0.04536444122723983,0.9072888245447965,0.08640845948045682,0.7526038528090906,0.7064259511853485,0.948728813559322,10.258481795564196,2.1959636753442737,0.16488656234858037,0.2183874101428216,0.8342313455185225,98.21474480628967
19,0.41088333422799783,0.40546503070253304,0.029486301871489692,0.0391980520000135,0.6236427418007684,0.7048906160112826,36.53260203797539,1.0,0.159530040648143,0.797650203240715,0.26588340108023834,0.7181127804096953,0.6914824507674888,0.08551144273066429,0.8551144273066429,0.15547535041938962,0.7368303515359167,0.6992863815905187,0.045389498301687176,0.9077899660337435,0.08645618724130891,0.7502671253383798,0.7030357988188966,0.9516949152542373,10.259734738983445,2.156160954570404,0.1621353248664973,0.21917933714406931,0.8380967390231164,98.26358723640442
20,0.40859313901324384,0.40330165766290876,0.02854659237310685,0.03886595259819124,0.6287098390778997,0.7080638408708742,36.81196057686954,1.0,0.15974163372125397,0.7987081686062698,0.26623605620208995,0.7207541052159464,0.6946934684559274,0.08582326410156468,0.8582326410156468,0.15604229836648123,0.7400809489120028,0.7027149362259892,0.045403418898602374,0.9080683779720474,0.08648270266400453,0.7527183772746491,0.7062041053697078,0.9504237288135593,10.26255657012246,2.163608317160382,0.1645305126729538,0.219227805820492,0.8353311973253464,98.45878028869629
