Model,BestEpoch,EpochsCompleted,BestValidationNDCG@10,Test_Accuracy@1,Test_MRR,Test_MeanRank,Test_MedianRank,Test_Precision@5,Test_Recall@5,Test_F1@5,Test_NDCG@5,Test_MAP@5,Test_Precision@10,Test_Recall@10,Test_F1@10,Test_NDCG@10,Test_MAP@10,Test_Precision@20,Test_Recall@20,Test_F1@20,Test_NDCG@20,Test_MAP@20,Test_CatalogCoverage@10,Test_Loss
Caption-GRU4Rec,22,25,0.6713885127400947,0.4678920428106096,0.5805034435546695,33.466185822863345,2.0,0.1423607879633938,0.7118039398169691,0.2372679799389897,0.5991961353397194,0.5615984178687763,0.0793004498216224,0.7930044982162247,0.1441826360393135,0.6256099136367388,0.5725923956263649,0.0433845199317512,0.8676903986350241,0.0826371808223832,0.6445720436215989,0.5778384314431753,0.9479392624728852,2.8240466134870297
Caption-Caser,24,25,0.6639332554930962,0.4706064836357996,0.5772765620304313,40.87482550023267,2.0,0.1398479913137893,0.6992399565689468,0.2330799855229822,0.5937338244287089,0.5585091256915361,0.0780440514968202,0.7804405149682022,0.141898275448764,0.6200083148506063,0.5693615647489542,0.0426012098650535,0.8520241973010703,0.0811451616477209,0.6382037541729199,0.5744063731191357,0.9279344420342251,3.1269824272239783
Caption-NextItNet,24,25,0.6670097017491767,0.4872033503955328,0.5913959030920913,42.69621529393516,2.0,0.1417403443462075,0.7087017217310377,0.2362339072436792,0.6067771235774969,0.5727250400703169,0.0789436947417403,0.7894369474174034,0.1435339904395279,0.6330220794814602,0.583636322788254,0.0430665425779432,0.8613308515588646,0.0820315096722728,0.6512996261750746,0.588706506449297,0.9705953241745,2.8959491103124817
Caption-STAMP,24,25,0.690761350815299,0.5159764231425469,0.615111014135368,36.05250504110439,1.0,0.1452148286024507,0.7260741430122538,0.2420247143374179,0.6303332224991621,0.598258880099271,0.079680471537149,0.7968047153714907,0.1448735846129983,0.6532327932723122,0.6077270158877883,0.0431983868465953,0.8639677369319063,0.0822826416125625,0.6703058349973631,0.6124616734768498,0.9423957580139792,2.8330610194501347
Caption-MIND,25,25,0.5130125818490152,0.26275787187839306,0.3873980552183327,49.13688537304172,5.0,0.10429657204901503,0.5214828602450752,0.17382762008169175,0.3976392688661029,0.3566969132930045,0.06513882425934543,0.6513882425934543,0.1184342259260826,0.43955246276851223,0.37393961384771063,0.038773848301535595,0.7754769660307119,0.07385494914578208,0.47100342728593686,0.3826114077336296,0.826705230175946,3.4884912447354695
