Epoch,TrainLoss,Val_Accuracy@1,Val_MRR,Val_MeanRank,Val_MedianRank,Val_Precision@5,Val_Recall@5,Val_F1@5,Val_NDCG@5,Val_MAP@5,Val_Precision@10,Val_Recall@10,Val_F1@10,Val_NDCG@10,Val_MAP@10,Val_Precision@20,Val_Recall@20,Val_F1@20,Val_NDCG@20,Val_MAP@20,Val_CatalogCoverage@10,Val_Loss,Seconds
1,1.0206998056125207,0.2822242903676128,0.3944147111345445,56.14177136652707,5.0,0.10241973010702651,0.5120986505351326,0.1706995501783775,0.40418640796489264,0.3683056718887338,0.06150147355359081,0.6150147355359081,0.11182086100652876,0.43733066160886935,0.38190622068588576,0.0358189855746859,0.716379711493718,0.06822663918987791,0.46291202900573997,0.38890239936083315,0.6442516268980477,3.5671336187472433,45.19245266914368
2,0.4675627656645724,0.36373507057546145,0.47928694198800914,43.14836357995967,3.0,0.12033503955328059,0.601675197766403,0.20055839925546767,0.49209211450385343,0.4555348741016493,0.0698464402047464,0.698464402047464,0.12699352764499344,0.52341458175665,0.4684756475880254,0.03965022491081123,0.7930044982162247,0.07552423792535472,0.5474122420622739,0.4751121835673996,0.7912750060255483,3.113668232014406,44.36159896850586
3,0.3221084026639545,0.4067783465177602,0.5147395886339551,36.53187529083294,2.0,0.12644640918256553,0.6322320459128277,0.2107440153042759,0.5271550696965384,0.49216431415128487,0.07231270358306188,0.7231270358306189,0.13147764287829433,0.556748700487508,0.5044968928577584,0.04075926787653172,0.8151853575306344,0.07763670071720327,0.5800547987314746,0.51091152253752,0.819233550253073,2.939683004444064,44.400434255599976
4,0.24727959543074443,0.43306964479602916,0.5365905813593445,33.32875756165659,2.0,0.1298278268962308,0.649139134481154,0.21637971149371799,0.547088641005709,0.5132296675456285,0.07533736621684504,0.7533736621684505,0.1369770294851728,0.580788787105298,0.5271325595022663,0.042023421746548786,0.8404684349309757,0.08004461285056912,0.602986835673289,0.5333187552231672,0.8553868402024585,2.843574127486016,44.60578751564026
5,0.19768904590120806,0.4340778656739569,0.5448091990459252,31.52613618737397,2.0,0.13293004498216227,0.6646502249108113,0.22155007497027043,0.5581420384860281,0.5226009513468797,0.07653947572514348,0.7653947572514348,0.1391626831366245,0.5906112269670387,0.5359345801295545,0.04229098805646037,0.8458197611292074,0.08055426296468642,0.6110805459713143,0.5416247647175759,0.876114726440106,2.8079254495944093,45.899333477020264
6,0.16527050141576916,0.4682022646192027,0.5717255936963228,32.41306033814177,2.0,0.1379556382813712,0.6897781914068559,0.22992606380228534,0.5861895420030634,0.551713975492477,0.07766402978129362,0.7766402978129362,0.1412073268750793,0.6142267706232177,0.5632539190124113,0.04266325422677214,0.8532650845354428,0.08126334138432788,0.6337127383929303,0.5686627720387752,0.8941913714147988,2.737884136878632,44.81201362609863
7,0.14121318043950024,0.4529238405459904,0.567069023330365,32.773925856987745,2.0,0.1390414146114472,0.695207073057236,0.2317356910190787,0.5845158939285829,0.5474574737604053,0.07802854040639057,0.7802854040639057,0.14187007346616465,0.6120633180428335,0.5588463995804619,0.04288040949278734,0.8576081898557468,0.08167697046245206,0.6316703120447852,0.5642576588482922,0.9093757531935406,2.7555512773985082,44.26928901672363
8,0.1240908929146081,0.4505196215293935,0.5635664467722661,31.48774623856057,2.0,0.13893283697843958,0.694664184892198,0.23155472829739931,0.5812943963933558,0.5434956827464972,0.07812160694896851,0.7812160694896851,0.14203928536176094,0.6094466704937588,0.5552095720662495,0.04287265394757252,0.8574530789514503,0.08166219799537622,0.6288759691377332,0.5606242507163286,0.90118100747168,2.7571196948832943,44.658427476882935
9,0.10706424706659741,0.48821157127346054,0.5923488941014012,31.828137118039397,2.0,0.14248487668683107,0.7124243834341554,0.23747479447805178,0.6083872083248096,0.5736983609947779,0.0794478051807042,0.794478051807042,0.14445055487400765,0.6350059276251142,0.584731578118037,0.043186753528773075,0.8637350705754615,0.08226048291194872,0.6526171533768129,0.5896173496174558,0.9023861171366594,2.6964015247693482,45.17417001724243
10,0.09894870882708875,0.4834031332402668,0.5889974340398333,30.80936869861951,2.0,0.14189545525050412,0.7094772762525206,0.2364924254175069,0.6046722310278139,0.5697378625717389,0.07972700480843803,0.7972700480843803,0.14495819056079642,0.6331561825017638,0.5815469112002384,0.04324492011788429,0.8648984023576858,0.08237127641501771,0.650262690791441,0.5862473808602813,0.91588334538443,2.7740397925929394,44.9095995426178
