Epoch,TrainLoss,Val_Accuracy@1,Val_MRR,Val_MeanRank,Val_MedianRank,Val_Precision@5,Val_Recall@5,Val_F1@5,Val_NDCG@5,Val_MAP@5,Val_Precision@10,Val_Recall@10,Val_F1@10,Val_NDCG@10,Val_MAP@10,Val_Precision@20,Val_Recall@20,Val_F1@20,Val_NDCG@20,Val_MAP@20,Val_CatalogCoverage@10,Val_Loss,Seconds
1,0.9495203158420921,0.2915309446254072,0.3967851783926047,53.14153870017062,5.0,0.10031022180859314,0.5015511090429657,0.1671837030143219,0.40081904282205877,0.3675391655033349,0.06190476190476191,0.6190476190476191,0.11255411255411256,0.43891188809718473,0.38331846853833823,0.03690863967736932,0.7381727935473864,0.0703021708140368,0.4690687780487988,0.39161557795768465,0.7124608339358882,3.5861392322207157,31.837223768234253
2,0.46419637246407536,0.3645106250969443,0.47808260375870437,39.84279509849542,3.0,0.12125019388863037,0.6062509694431518,0.20208365648105062,0.49141686268483936,0.4533646140323665,0.07091670544439274,0.7091670544439274,0.12893946444435045,0.5247401881025205,0.4671410475156404,0.04037149061579029,0.8074298123158058,0.07689807736341008,0.5496852362575525,0.47404091036349616,0.8038081465413353,3.128732856713803,30.473307609558105
3,0.3300574058294115,0.4154645571583682,0.5286402526738961,34.17985109353187,2.0,0.1306654257794323,0.6533271288971615,0.21777570963238715,0.5426590126166135,0.5057998552298226,0.0753528773072747,0.753528773072747,0.1370052314677722,0.5751800745070497,0.51929225725759,0.042027299519156194,0.8405459903831239,0.08005199908410704,0.5971439486079642,0.5253011920455433,0.8568329718004338,2.842642762669486,39.07845997810364
4,0.25752347656597224,0.424073212346828,0.541230576735614,31.675275321855125,2.0,0.13547386381262602,0.6773693190631301,0.22578977302104336,0.5592067009544864,0.5198619512951761,0.07706685279975181,0.7706685279975182,0.1401215505450033,0.589313278192663,0.5322468491558766,0.0427059097254537,0.854118194509074,0.08134458995324514,0.6105919064080063,0.5381818203440453,0.8741865509761388,2.7382141499070394,30.37343454360962
5,0.21071491732639322,0.4437722971924926,0.5543780674156574,29.73700946176516,2.0,0.1353342639987591,0.6766713199937956,0.22555710666459852,0.5681429480772283,0.5320148906468124,0.07770280750736777,0.7770280750736777,0.14127783183157777,0.6006021628964364,0.5454146877715979,0.04321002016441756,0.8642004032883511,0.0823048003131763,0.6226768590300417,0.5514917461370974,0.8881658230899012,2.6927466672835507,30.103092432022095
6,0.17779433006076398,0.452536063285249,0.5659402288195551,28.927175430432758,2.0,0.13959981386691483,0.6979990693345742,0.23266635644485803,0.583378935668329,0.5452135360115816,0.07892042810609587,0.7892042810609586,0.14349168746562885,0.612918766658055,0.5574317512021095,0.04360943074298123,0.8721886148596246,0.0830655823675833,0.6339728226907434,0.5632469937748186,0.9031091829356471,2.63062256791896,30.19983959197998
7,0.15619560837697669,0.45742205677059095,0.5724659687754748,28.3981696913293,2.0,0.14150767798976266,0.7075383899488134,0.23584612998293775,0.5911586488918347,0.5523680264722609,0.07974251589886769,0.7974251589886769,0.1449863925433958,0.620366721797486,0.564503054207568,0.0436559640142702,0.8731192802854041,0.08315421717003849,0.6395699969168757,0.5698073189483442,0.9120269944564955,2.572892616382029,30.175747871398926
8,0.14189854089860043,0.47510469986040016,0.5886254690009038,27.847293314720027,2.0,0.14420660772452304,0.7210330386226151,0.24034434620753842,0.6074615539552092,0.5695349258052842,0.08048704823949124,0.8048704823949123,0.1463400877081659,0.6347047186923026,0.5808552519813571,0.04394291918721886,0.8788583837443772,0.08370079845184546,0.6534997112411277,0.5860606913875894,0.9187756085803808,2.53426276470721,30.20554757118225
9,0.12686832369495907,0.4846440204746394,0.5948822737481534,28.250969443151853,2.0,0.14533891732588802,0.7266945866294401,0.24223152887648006,0.6138168942356471,0.5762318390982886,0.08110749185667752,0.8110749185667753,0.14746816701214097,0.6410678404930324,0.5874586678681606,0.04408251900108577,0.8816503800217155,0.083966702859211,0.659034522914662,0.5924551145588236,0.9238370691732948,2.517925587295099,30.419554710388184
10,0.12142918331964524,0.49426089654102684,0.6022545938800195,28.39956568946797,2.0,0.14602140530479293,0.7301070265239646,0.24336900884132157,0.6204746178203261,0.5839356806783517,0.08118504730882581,0.8118504730882581,0.14760917692513784,0.6468925396687215,0.5948258818547324,0.044047619047619044,0.8809523809523809,0.0839002267573696,0.6645505121393306,0.5997701013849356,0.9276934201012292,2.507754387847394,42.83250641822815
11,0.1103514489077571,0.48402357685745306,0.596978854810358,27.772219637040482,2.0,0.14633162711338607,0.7316581355669304,0.2438860451889768,0.6169654130185295,0.5786903469313893,0.08139444702962619,0.8139444702962618,0.14798990369022944,0.6436582033353195,0.5897542169238308,0.04407088568326353,0.8814177136652707,0.08394454415859721,0.6608021885142424,0.59450337610523,0.9248011569052784,2.507991332203099,38.340481996536255
12,0.10308234615981315,0.498371335504886,0.6054212759926269,27.641461144718473,2.0,0.1467194043741275,0.7335970218706375,0.24453234062354584,0.6234354370782389,0.5867884287265395,0.08199937955638281,0.8199937955638281,0.1490897810116051,0.651502324322168,0.598447536814219,0.044260896541026835,0.8852179308205367,0.08430646960195588,0.6681287063958657,0.6030803924373294,0.9337189684261268,2.503280721303195,30.186673879623413
13,0.09938545133391578,0.4906157902900574,0.6022053758606355,28.90995812005584,2.0,0.14679695982627577,0.7339847991313789,0.2446615997104596,0.6214039023828563,0.5838361511814281,0.08199937955638281,0.8199937955638281,0.1490897810116051,0.6491629056240547,0.595259422987436,0.04434620753838995,0.886924150767799,0.08446896673979037,0.6661247261580134,0.599935980596256,0.9385394070860448,2.516987430932856,30.551702737808228
