Epoch,TrainLoss,Val_Accuracy@1,Val_MRR,Val_MeanRank,Val_MedianRank,Val_Precision@5,Val_Recall@5,Val_F1@5,Val_NDCG@5,Val_MAP@5,Val_Precision@10,Val_Recall@10,Val_F1@10,Val_NDCG@10,Val_MAP@10,Val_Precision@20,Val_Recall@20,Val_F1@20,Val_NDCG@20,Val_MAP@20,Val_CatalogCoverage@10,Val_Loss,Seconds
11,0.5700248860544436,0.22630680936869862,0.3410299548052003,51.51597642314255,7.0,0.09122072281681402,0.45610361408407013,0.15203453802802339,0.34564474746177054,0.3091761025800114,0.05791841166434001,0.5791841166434001,0.10530620302607274,0.3852338884263545,0.32538999313080286,0.03603226306809369,0.7206452613618738,0.06863288203446417,0.4210470580355821,0.33524722707157983,0.6088214027476501,4.0046274650553615,32.5255389213562
12,0.5235246912491519,0.2469365596401427,0.35773278407595793,50.106173413991,7.0,0.09404374127501164,0.4702187063750582,0.15673956879168605,0.36190543424024285,0.32622925391655033,0.05929114316736467,0.5929114316736467,0.10780207848611756,0.4014636608363627,0.3424841072875042,0.03658678455095393,0.7317356910190786,0.06968911343038844,0.4365529574265782,0.3521122726576484,0.6252108941913714,3.910259189431161,33.15030646324158
13,0.4777572216654905,0.23941368078175895,0.358468097747447,46.96292849387312,6.0,0.09623080502559331,0.4811540251279665,0.16038467504265552,0.3647763978883504,0.3263520500491185,0.06093531875290833,0.6093531875290833,0.1107914886416515,0.4062152991359144,0.34344450230327384,0.037346827982007134,0.7469365596401427,0.0711368152038231,0.4410950364150944,0.3530678140821169,0.6505181971559412,3.8100703141662304,32.519694089889526
14,0.4435622980399219,0.2677989762680316,0.3842048782708318,44.52256863657515,5.0,0.10196990848456647,0.5098495424228323,0.16994984747427747,0.39255311065450926,0.35389974665218965,0.0632309601364976,0.6323096013649759,0.11496538206635926,0.43210436344158154,0.37019562439525217,0.03804870482394913,0.7609740964789825,0.0724737234741888,0.46464112821905024,0.3791275204161553,0.673174258857556,3.709319379619245,33.61652660369873
15,0.41012257388706286,0.26516209089498993,0.383536461952738,44.13649759578098,5.0,0.10200093066542577,0.5100046533271289,0.17000155110904294,0.3920154575250235,0.35308153663202524,0.06334729331472003,0.6334729331472002,0.11517689693585459,0.43175405661789323,0.36937061288503825,0.038211571273460525,0.7642314254692105,0.07278394528278195,0.46490566718167614,0.3785202030703124,0.6941431670281996,3.6510527669801,32.9268012046814
16,0.38201314988015495,0.281991624011168,0.3998042633714126,41.16953621839615,5.0,0.10553745928338762,0.5276872964169381,0.1758957654723127,0.40895576107577775,0.36980507729693396,0.06515433534977509,0.6515433534977509,0.11846242790868199,0.4488772015007301,0.38620439308550053,0.03889793702497286,0.7779587404994571,0.07409130861899592,0.480947265900355,0.3950639562887124,0.7088455049409497,3.5679350424426755,32.59687066078186
17,0.35584983403617604,0.2752442996742671,0.400057331667929,40.38009927097875,4.0,0.10784861175740654,0.5392430587870327,0.17974768626234422,0.412253235111407,0.37030013959981384,0.06650380021715527,0.6650380021715526,0.12091600039482775,0.4527757017082314,0.3869306444981177,0.039413680781758956,0.7882736156351792,0.07507367767954087,0.48399374151703367,0.3955285424019081,0.7355989395034949,3.5012804412723457,33.732168436050415
18,0.3331842069818348,0.30277648518690864,0.42255316638679435,39.04839460214053,4.0,0.11042345276872964,0.5521172638436482,0.18403908794788273,0.43292941800637014,0.39350085310997357,0.06737242128121607,0.6737242128121607,0.12249531142039286,0.47224069954955933,0.4097175134983418,0.03971226927252986,0.7942453854505972,0.07564241766196163,0.5027869559893369,0.41814239085243704,0.750060255483249,3.434602160222293,32.600168228149414
19,0.313949638840694,0.30386226151698464,0.4229665170043697,38.181789979835585,4.0,0.1099270978749806,0.549635489374903,0.18321182979163436,0.4320611895831045,0.3931777053926891,0.06751977664029782,0.6751977664029781,0.12276323025508694,0.47274636551136656,0.41001748690790113,0.03975492477121141,0.7950984954242283,0.07572366623087888,0.5032653614863526,0.41850050934810457,0.7584960231381056,3.4043974925958778,32.56901001930237
20,0.2953319457956297,0.30828292228943693,0.43027744705047316,36.345431983868465,4.0,0.11261051651931131,0.5630525825965566,0.18768419419885218,0.44150530489795026,0.401273202006101,0.06892353032418179,0.6892353032418179,0.12531550968033053,0.48220359759896697,0.4180097301316473,0.040069024352411976,0.8013804870482395,0.07632195114745138,0.5107104114145758,0.42591417027512657,0.7719932513858762,3.3542457605417852,32.30903887748718
21,0.27832145533757485,0.3141771366527067,0.43766879881353776,35.637816038467506,4.0,0.11549557933922754,0.5774778966961377,0.1924926322320459,0.45137172255655666,0.4096711648828913,0.06990848456646502,0.6990848456646502,0.12710633557539094,0.49066279203483987,0.4258665898498379,0.040429657204901506,0.8085931440980301,0.07700887086647905,0.5184059344852883,0.43350853858699506,0.7854904796336467,3.301753476514028,34.46408462524414
22,0.2625416653356985,0.3273615635179153,0.45148491422447,34.862183961532494,3.0,0.11796184271754304,0.5898092135877152,0.19660307119590503,0.4652794424698549,0.42400470503076365,0.07088568326353342,0.7088568326353343,0.12888306047915168,0.5037779969318635,0.4398954170882975,0.040887234372576395,0.8177446874515278,0.07788044642395504,0.5314150361651013,0.447536033833291,0.8040491684743312,3.234787022806756,33.580079793930054
23,0.2506412844161413,0.31976112920738325,0.44247016458216065,34.56747324336901,4.0,0.11625562277028074,0.5812781138514037,0.19375937128380125,0.4554836986673726,0.41395868879582237,0.07069955017837753,0.7069955017837753,0.12854463668795915,0.49623826793299963,0.4308410334817966,0.040782534512176206,0.8156506902435241,0.07768101811843087,0.5237860528416495,0.4384407902675003,0.812002892263196,3.2370134332632303,32.60629963874817
24,0.2373242118153174,0.3422522103303862,0.46189230997687575,33.38863037071506,3.0,0.11951295176050876,0.5975647588025438,0.19918825293418124,0.4754324299513573,0.4350356755079882,0.07132774934077865,0.7132774934077866,0.1296868169832339,0.51280906461077,0.4504353261391419,0.04101132309601365,0.820226461920273,0.07811680589716886,0.5399343176864803,0.45792419947956325,0.8228488792480115,3.1875397244479022,33.67261290550232
25,0.22633680010058177,0.3290677834651776,0.4578358896670131,32.93384519931751,3.0,0.12033503955328059,0.601675197766403,0.20055839925546767,0.47311469518972904,0.4304392223773332,0.07249883666821778,0.7249883666821778,0.1318160666694869,0.5130125818490152,0.44691741698489024,0.041360322630680936,0.8272064526136187,0.07878156691558275,0.5388777405431058,0.4540271193666483,0.8315256688358641,3.1386740619274227,34.00053405761719
