Model,MRR,Recall@5,NDCG@5,Recall@10,NDCG@10,Recall@20,NDCG@20,Best_validation_NDCG@10
NARM,0.31003636623342473,0.43260431208313943,0.32397073882894656,0.5236544129052272,0.3535090052091144,0.5984954242283232,0.372543837188428,0.39115173917688495
SASRec,0.993920356584917,0.9943384519931752,0.9939451182241605,0.9946486738017682,0.9940457539012381,0.9948813401582132,0.9941060562303511,0.9942788151152112
BERT4Rec,0.2991782216934492,0.3791686055529704,0.30494790155213325,0.44749495889561036,0.3269594221119362,0.5221033038622616,0.34585738538087984,0.3541647018008979
LightGCN,0.12170995578862302,0.16434000310221808,0.10597550720850246,0.2747789669613774,0.14136227917688954,0.4363269737862572,0.18214047414564183,0.19749574734240816
HGT,0.0027234936555613314,0.0016286644951140066,0.0010465402257651337,0.002791996277338297,0.0014170047103088457,0.006359547076159454,0.002311408557897348,0.002439798600857338
